,Age,Breed_type,Sex,Country,Total
0,Under 1,Non Dairy,F,Austria,0
1,,,M,Austria,0
2,1 to 2,Non Dairy,F,Austria,0
3,,,M,Austria,0
4,2 to 3,Dairy,M,Austria,0
5,,Non Dairy,F,Austria,0
6,,,M,Austria,0
7,3 to 4,Dairy,M,Austria,0
8,,Non Dairy,F,Austria,0
9,,,M,Austria,0
10,4 to 5,Dairy,M,Austria,0
11,,Non Dairy,F,Austria,0
12,,,M,Austria,0
13,5 to 6,Dairy,M,Austria,0
14,,Non Dairy,F,Austria,0
15,,,M,Austria,0
16,6 to 12,Dairy,F,Austria,0
17,,,M,Austria,0
18,,Non Dairy,F,Austria,0
19,,,M,Austria,0
20,12 to 24,Dairy,F,Austria,11
21,,,M,Austria,0
22,,Non Dairy,F,Austria,0
23,,,M,Austria,0
24,24 to 30,Dairy,F,Austria,9
25,,,M,Austria,0
26,,Non Dairy,F,Austria,0
27,,,M,Austria,0
28,30 to 36,Dairy,F,Austria,0
29,,Non Dairy,F,Austria,0
30,,,M,Austria,0
31,36 to 48,Dairy,F,Austria,0
32,,,M,Austria,0
33,,Non Dairy,F,Austria,0
34,,,M,Austria,0
35,48 to 60,Dairy,F,Austria,0
36,,Non Dairy,F,Austria,0
37,,,M,Austria,0
38,60 to 72,Dairy,F,Austria,0
39,,Non Dairy,F,Austria,0
40,,,M,Austria,0
41,72 and Over,Dairy,F,Austria,0
42,,Non Dairy,F,Austria,0
43,,,M,Austria,0
44,Under 1,Non Dairy,F,Czech_republic,0
45,,,M,Czech_republic,0
46,1 to 2,Non Dairy,F,Czech_republic,0
47,,,M,Czech_republic,0
48,2 to 3,Dairy,M,Czech_republic,0
49,,Non Dairy,F,Czech_republic,0
50,,,M,Czech_republic,0
51,3 to 4,Dairy,M,Czech_republic,0
52,,Non Dairy,F,Czech_republic,0
53,,,M,Czech_republic,0
54,4 to 5,Dairy,M,Czech_republic,0
55,,Non Dairy,F,Czech_republic,0
56,,,M,Czech_republic,0
57,5 to 6,Dairy,M,Czech_republic,0
58,,Non Dairy,F,Czech_republic,0
59,,,M,Czech_republic,0
60,6 to 12,Dairy,F,Czech_republic,0
61,,,M,Czech_republic,0
62,,Non Dairy,F,Czech_republic,0
63,,,M,Czech_republic,0
64,12 to 24,Dairy,F,Czech_republic,22
65,,,M,Czech_republic,1
66,,Non Dairy,F,Czech_republic,0
67,,,M,Czech_republic,0
68,24 to 30,Dairy,F,Czech_republic,0
69,,,M,Czech_republic,0
70,,Non Dairy,F,Czech_republic,0
71,,,M,Czech_republic,0
72,30 to 36,Dairy,F,Czech_republic,0
